TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,Season
1610612738,Boston Celtics,82,35,47,0.427,48.1,103.0,29.5,0.738,9.7,3.5,16.8,12.5,13.8,39.1,1,19,19,19,26,19,24,1,1,28,17,3,14,13,10,Boston Celtics,1999-00
1610612766,Charlotte Hornets,82,49,33,0.598,48.2,98.9,32.1,0.732,8.9,5.9,15.9,13.4,14.0,39.8,1,10,10,10,19,9,3,3,6,7,13,11,15,17,10,Charlotte Hornets,1999-00
1610612741,Chicago Bulls,82,17,65,0.207,48.3,102.3,28.3,0.699,7.9,4.7,21.0,12.9,13.4,39.1,1,28,28,28,17,17,28,20,14,19,29,6,13,14,10,Chicago Bulls,1999-00
1610612739,Cleveland Cavaliers,82,32,50,0.39,48.4,100.9,30.5,0.712,8.7,4.4,19.5,14.5,13.2,37.7,1,22,22,22,2,14,14,16,9,23,28,24,10,11,10,Cleveland Cavaliers,1999-00
1610612742,Dallas Mavericks,82,40,42,0.488,48.1,104.5,29.8,0.661,7.2,5.1,15.5,16.8,15.2,42.9,1,18,18,18,26,24,20,29,23,15,9,29,21,25,10,Dallas Mavericks,1999-00
1610612743,Denver Nuggets,82,35,47,0.427,48.4,102.8,31.6,0.716,6.8,7.5,17.8,14.2,15.2,42.2,1,19,19,19,2,18,7,13,27,1,22,18,22,23,10,Denver Nuggets,1999-00
1610612765,Detroit Pistons,82,42,40,0.512,48.4,103.1,30.0,0.716,8.1,3.3,17.4,14.4,12.7,37.0,1,15,15,15,7,20,18,12,12,29,18,22,9,8,10,Detroit Pistons,1999-00
1610612744,Golden State Warriors,82,19,63,0.232,48.2,105.8,29.7,0.691,8.9,4.3,16.7,15.4,15.3,43.5,1,27,27,27,22,28,21,27,7,24,15,28,23,27,10,Golden State Warriors,1999-00
1610612745,Houston Rockets,82,34,48,0.415,48.4,103.1,31.5,0.716,7.5,5.3,19.0,14.3,14.5,42.4,1,21,21,21,7,21,8,14,19,12,26,20,17,24,10,Houston Rockets,1999-00
1610612754,Indiana Pacers,82,56,26,0.683,48.1,100.8,31.9,0.715,6.8,5.1,15.0,13.5,14.6,42.0,1,3,3,3,26,13,6,15,26,14,6,13,20,20,10,Indiana Pacers,1999-00
1610612746,Los Angeles Clippers,82,15,67,0.183,48.1,107.3,29.0,0.696,7.0,6.0,18.7,15.0,15.6,48.8,1,29,29,29,29,29,25,25,25,6,25,25,25,29,10,Los Angeles Clippers,1999-00
1610612747,Los Angeles Lakers,82,67,15,0.817,48.3,95.6,33.4,0.731,7.5,6.5,14.3,13.2,12.4,34.8,1,1,1,1,14,1,1,5,19,4,1,9,7,4,10,Los Angeles Lakers,1999-00
1610612748,Miami Heat,82,52,30,0.634,48.4,97.7,31.9,0.729,7.1,6.4,16.0,12.7,11.7,34.1,1,7,7,7,7,5,5,8,24,5,14,4,3,3,10,Miami Heat,1999-00
1610612749,Milwaukee Bucks,82,42,40,0.512,48.4,104.9,28.9,0.696,8.2,4.6,16.8,14.3,14.2,37.0,1,15,15,15,2,26,26,26,10,21,16,21,16,9,10,Milwaukee Bucks,1999-00
1610612750,Minnesota Timberwolves,82,50,32,0.61,48.5,100.2,30.1,0.73,7.6,5.4,14.8,13.2,13.3,38.5,1,8,8,8,1,12,16,7,17,11,4,7,12,12,10,Minnesota Timberwolves,1999-00
1610612751,New Jersey Nets,82,31,51,0.378,48.4,103.3,28.2,0.672,8.8,4.8,14.8,15.3,15.6,43.0,1,23,23,23,7,22,29,28,8,17,2,27,24,26,10,New Jersey Nets,1999-00
1610612752,New York Knicks,82,50,32,0.61,48.4,98.1,30.7,0.731,6.3,4.3,15.9,12.4,10.5,31.8,1,8,8,8,7,7,13,4,28,25,12,2,2,1,10,New York Knicks,1999-00
1610612753,Orlando Magic,82,41,41,0.5,48.2,98.9,31.0,0.699,9.1,5.7,18.3,14.5,14.6,39.8,1,17,17,17,22,8,12,21,5,8,24,23,19,16,10,Orlando Magic,1999-00
1610612755,Philadelphia 76ers,82,49,33,0.598,48.4,97.5,30.1,0.699,9.6,4.7,15.2,12.7,12.7,37.2,1,10,10,10,7,4,17,22,2,18,7,5,8,10,10,Philadelphia 76ers,1999-00
1610612756,Phoenix Suns,82,53,29,0.646,48.3,96.2,31.2,0.705,9.1,5.3,17.4,14.1,12.0,36.0,1,5,5,5,14,3,11,19,4,13,19,17,5,7,10,Phoenix Suns,1999-00
1610612757,Portland Trail Blazers,82,59,23,0.72,48.2,97.7,31.2,0.724,7.7,4.8,15.2,13.9,12.3,35.0,1,2,2,2,19,6,10,9,15,16,8,16,6,5,10,Portland Trail Blazers,1999-00
1610612758,Sacramento Kings,82,44,38,0.537,48.3,99.9,32.1,0.697,9.6,4.6,18.3,14.3,17.0,42.2,1,14,14,14,18,11,3,23,3,21,23,19,28,22,10,Sacramento Kings,1999-00
1610612759,San Antonio Spurs,82,53,29,0.646,48.4,95.7,32.5,0.73,7.5,6.7,15.5,13.3,11.8,35.3,1,5,5,5,2,2,2,6,18,2,10,10,4,6,10,San Antonio Spurs,1999-00
1610612760,Seattle SuperSonics,82,45,37,0.549,48.2,101.8,30.3,0.696,8.0,4.2,14.8,15.0,13.2,40.3,1,12,12,12,19,16,15,24,13,27,3,26,11,19,10,Seattle SuperSonics,1999-00
